227;2015-03-19; Motorola Moto G;129; Josema; ; ; ; ; ;;
228;2015-06-01;Cartucho tinta HP 264 colot y negro;31;Alcampo. Trae papel fotografico y sobres. compramos 2 cajas; ; ; ; ; ;;
229;2015-06-17;Seat Altea;13795;Avolo. SEGURO. LineaDirecta. 2017-10-30.  Todo riesgo. 489€. PAGOS. 2015-07-15 — 2022-06-15. ITV. 2017-01-24. MATRICULACION. 2014-04-01;upload/AlteaDatos_imgiPad de Juan Jose000003.jpg;upload/AlteaDatos_imgiPad de Juan Jose000004.jpg;upload/Compras_imgMoli000050.jpg;upload/manual_altea.pdf; ;;
230;2015-06-20; Alo piso Cordoba;235;reserva de piso entre tres. cuando tengan un cuarto inquilino; ; ; ; ; ;;
231;2015-06-24; Alarga lapices;7; Amazon; ; ; ; ; ;;
232;2015-06-24; Alfombrilla entrada piso;6; Chinos bajo La Inma; ; ; ; ; ;;
233;2015-07-10;Seguro decesos;146; Josema y Juanjo; ; ; ; ; ;;
234;2015-07-22;Sartenero;18; amazon; ; ; ; ; ;;
235;2015-07-22; Carpeta ejcutiva Collins;16; amazon; ; ; ; ; ;;
236;2015-08-01; Velvet Smooth;38; alcampo; ; ; ; ; ;;
237;2015-08-03; Sacabocados;6; amazon; ; ; ; ; ;;
238;2015-08-03; Estuche para lapices;6; amazon; ; ; ; ; ;;
239;2015-08-07; Boligrafo para ipad;24; amazon; ; ; ; ; ;;
240;2015-08-10; Cortapelo Remington;19; alcampo. En 2015-09-08 compramos otra para Alvaro; ; ; ; ; ;;
241;2015-08-30; Alo piso;262; ; ; ; ; ; ;;
242;2015-08-31; Veraneo AlmuÃ±ecar;600; 300â‚¬ alojamiento; ; ; ; ; ;;
243;2015-09-04;Alo matricula Diseño;455; Cordoba; ; ; ; ; ;;
244;2015-09-10; Tablet Xaomi Alo;189; ; ; ; ; ; ;;
245;2015-09-22; Calibre digital;9; Lidl Bailen; ; ; ; ; ;;
246;2015-10-01; Secador Bayliss expert 2200;24; alcampo; ; ; ; ; ;;
247;2015-10-01; Reloj retro;13; amazon; ; ; ; ; ;;
248;2015-10-01;Placa led circular;10; 18w. 4500k. 1400lum. 225mm; ; ; ; ; ;;
249;2015-12-07;Ipad air 2. 64Gb;569; ; ; ; ; ; ;;
250;2016-01-06; Telescopio Yukon 50x50 WA;77; reyes; ; ; ; ; ;;
251;2016-01-06; Tripode Yukka Yukon;37; reyes; ; ; ; ; ;;
252;2016-01-25; Flexo;30; ; ; ; ; ; ;;
253;2016-01-27;Gafas Josema;785; ; ; ; ; ; ;;
254;2016-02-16;Comprobador universal de baterias;2; ; ; ; ; ; ;;
255;2016-02-22; Batidora;66; amazon; ; ; ; ; ;;
256;2016-03-01; Envasadora al vacio. Taurus;61; amazon; ; ; ; ; ;;
257;2016-03-05;Puntas exagonales;12; ; ; ; ; ; ;;
258;2016-03-07; Puntas destornillador;10; 100 puntas; ; ; ; ; ;;
259;2016-03-08; Medidor de pilas;2; amazon; ; ; ; ; ;;
260;2016-03-28; Movil Xiaomi;228; Alo; ; ; ; ; ;;
261;2016-03-28; Llaves de tubo;8; amazon; ; ; ; ; ;;
262;2016-03-29;Bateria para galaxy s3;15; 6000ma. Amazon; ; ; ; ; ;;
263;2016-04-15; Telefonillo Tegui serie 7;14; ; ; ; ; ; ;;
264;2016-04-25; Teclado USB;18; ; ; ; ; ; ;;
265;2016-04-25;Teclado bluetooth para iPad;15; ; ; ; ; ; ;;
266;2016-07-11; Grifo baño grande;45; ; ; ; ; ; ;;
267;2016-07-11;Cestas ducha;13;Compro 2; ; ; ; ; ;;
268;2016-07-17; Raton;6; compro 2; ; ; ; ; ;;
269;2016-07-17;Bluetooth audio;4; ; ; ; ; ; ;;
